,Rank,Country/Territory,Type
1,1,Qatar,Oil & Gas
2,2,Luxembourg,Top 10 Tax haven (Sink OFC)
3,—,Macau,Tax haven (Sink OFC)
4,3,Singapore,Top 10 Tax haven (Conduit OFC)
5,4,Brunei,Oil & Gas
6,5,United Arab Emirates,Oil & Gas
7,6,Ireland,Top 10 Tax haven (Conduit OFC)
8,7,Switzerland,Top 10 Tax haven (Conduit OFC)
9,8,Norway,Oil & Gas
10,—,Hong Kong,Top 10 Tax haven (Sink OFC)
11,9,United States,57467
12,10,Saudi Arabia,Oil & Gas
13,11,Iceland,51399
14,12,Netherlands,Top 10 Tax haven (Conduit OFC)
15,13,Austria,50078
16,14,Denmark,49496
17,15,Sweden,49175
