,Rank,Country/Territory,Int$
1,—,Macau,129451
2,1,Luxembourg,121293
3,2,Singapore,101649
4,3,Qatar,94029
5,4,Ireland,88241
6,—,Cayman Islands (2018),73292
7,5,Switzerland,70989
8,6,United Arab Emirates,70089
9,7,Norway,66832
10,8,United States,65298
11,9,Brunei,64848
12,—,Hong Kong,62496
13,10,San Marino (2018),60887
14,11,Denmark,60179
15,12,Iceland,60061
16,13,Netherlands,59554
17,—,Bermuda,85418
18,14,Austria,58946
19,15,Germany,56278
20,16,Sweden,55820
21,—,Taiwan,55078
22,17,Belgium,54905
23,18,Australia,53469
24,19,Kuwait,52060
25,20,Finland,51426
26,21,Canada,51342
27,22,France,49435
28,23,Saudi Arabia,49040
29,24,United Kingdom,48698
30,25,Bahrain,47003
31,—,European Union,46565
32,26,Malta,46279
33,27,Italy,44248
34,28,New Zealand,43953
35,29,Czech Republic,43300
36,30,Japan,43236
37,31,South Korea,43143
38,32,Spain,42195
39,33,Israel,42146
40,34,Cyprus,41254
41,35,Slovenia,40983
42,36,Estonia,38915
43,—,Aruba,38442
44,37,The Bahamas,38743
45,38,Lithuania,38502
46,39,Portugal,36639
47,—,Sint Maarten,36203
48,—,Puerto Rico,36045
49,40,Hungary,34507
50,41,Poland,34431
51,42,Slovakia,34067
52,43,Panama,32851
53,44,Romania,32297
54,45,Latvia,32191
55,46,Greece,30722
56,—,Turks and Caicos Islands,30548
57,47,Seychelles,30517
58,48,Croatia,30141
59,49,Malaysia,29620
60,50,Russia,29181
61,51,Oman,28508
62,52,Turkey,28134
63,53,Saint Kitts and Nevis,27608
64,54,Kazakhstan,27518
65,55,Trinidad and Tobago,27334
66,—,Curaçao,25563
67,56,Chile,25155
68,57,Bulgaria,24790
69,58,Mauritius,23882
70,59,Montenegro,23189
71,60,Argentina,23040
72,61,Antigua and Barbuda,22880
73,62,Uruguay,22515
74,63,Costa Rica,20444
75,64,Mexico,20582
76,65,Maldives,20396
77,66,Belarus,19997
78,67,Equatorial Guinea,19379
79,68,Thailand,19277
80,69,Dominican Republic,19228
81,70,Serbia,19013
82,71,Botswana,18553
83,72,Palau,18357
84,73,Grenada,17793
85,—,World,17678
86,74,North Macedonia,17608
87,75,Venezuela (2011),17527
88,76,Suriname,17256
89,77,China,16830
90,78,Barbados,16331
91,79,Saint Lucia,16132
92,80,Bosnia and Herzegovina,15883
93,81,Libya,15846
94,82,Georgia,15656
95,83,Colombia,15635
96,84,Gabon,15612
97,85,Brazil,15300
98,86,Turkmenistan,15207
99,87,Lebanon,15196
100,88,Azerbaijan,15041
101,89,Albania,14496
102,90,Fiji,14290
103,91,Armenia,14258
104,92,Guyana,13661
105,93,Sri Lanka,13657
106,94,Moldova,13627
107,95,Peru,13416
108,96,Ukraine,13341
109,97,Paraguay,13247
110,98,Saint Vincent and the Grenadines,13038
111,99,South Africa,13034
112,100,Iran,12938
113,101,Mongolia,12863
114,102,Dominica,12444
115,103,Bhutan,12356
116,104,Indonesia,12335
117,105,Egypt,12284
118,106,Nauru,12095
119,107,Algeria,12020
120,108,Ecuador,11879
121,—,Kosovo,11871
122,109,Iraq,11363
123,110,Tunisia,11232
124,111,Jordan,10517
125,112,Jamaica,10194
126,113,Namibia,10064
127,114,Philippines,9302
128,115,El Salvador,9164
129,116,Bolivia,9111
130,117,Guatemala,9020
131,118,Eswatini,9003
132,119,Vietnam,8397
133,120,Laos,8173
134,121,Morocco,7826
135,122,Cape Verde,7489
136,123,Belize,7315
137,124,Uzbekistan,7308
138,125,India,6997
139,126,Angola,6966
140,127,Samoa,6796
141,128,Tonga,6666
142,—,West Bank and Gaza (2018),6495
143,129,Honduras,5982
144,130,Djibouti,5780
145,131,Ghana,5652
146,132,Nicaragua,5646
147,133,Kyrgyzstan,5486
148,134,Côte d'Ivoire,5443
149,135,Mauritania,5427
150,136,Myanmar,5370
151,137,Nigeria,5363
152,138,Bangladesh,4964
153,139,Pakistan,4898
154,140,Cambodia,4583
155,141,Papua New Guinea,4548
156,142,Kenya,4522
157,143,Tuvalu,4471
158,144,São Tomé and Príncipe,4145
159,145,Sudan,4123
160,146,Marshall Islands,3983
161,147,Republic of the Congo,3836
162,148,Cameroon,3804
163,149,Timor-Leste,3710
164,150,Yemen (2013),3689
165,151,Zambia,3624
166,152,Nepal,3568
167,153,Federated States of Micronesia,3548
168,154,Senegal,3545
169,155,Tajikistan,3529
170,156,Benin,3433
171,157,Vanuatu,3293
172,158,Comoros,3195
173,159,Haiti,3034
174,160,Zimbabwe,2961
175,161,Lesotho,2824
176,162,Solomon Islands,2781
177,163,Tanzania,2771
178,164,Guinea,2676
179,165,Mali,2424
180,166,Kiribati,2373
181,167,Rwanda,2325
182,168,The Gambia,2321
183,169,Ethiopia,2320
184,170,Uganda,2284
185,171,Burkina Faso,2273
186,172,Afghanistan,2156
187,173,Guinea-Bissau,2077
188,174,Sierra Leone,1794
189,175,Madagascar,1720
190,176,Togo,1667
191,177,Chad,1650
192,178,Eritrea (2011),1626
193,179,South Sudan (2014),1496
194,180,Liberia,1491
195,181,Mozambique,1338
196,182,Niger,1279
197,183,Democratic Republic of the Congo,1147
198,184,Malawi,1107
199,185,Central African Republic,988
200,186,Burundi,785
