,Rank,Δ Rank,Country,Regime type,Electoral process and pluralism,Functioning of government,Political participation,Political culture,Civil liberties,Overall score,Δ Score
1,1,NaN,Norway,Full democracy,10.00,9.64,10.00,10.00,9.41,9.81, 0.06
2,2,NaN,Iceland,Full democracy,10.00,8.57,8.89,10.00,9.41,9.37, 0.21
3,3,NaN,Sweden,Full democracy,9.58,9.29,8.33,10.00,9.12,9.26, 0.13
4,4,NaN,New Zealand,Full democracy,10.00,8.93,8.89,8.75,9.71,9.25, 0.01
5,5, 2,Canada,Full democracy,9.58,8.93,8.89,9.38,9.41,9.24, 0.02
6,6, 1,Finland,Full democracy,10.00,8.93,8.89,8.75,9.41,9.20, 0.05
7,7,NaN,Denmark,Full democracy,10.00,8.93,8.33,9.38,9.12,9.15, 0.07
8,8, 2,Ireland,Full democracy,10.00,7.86,8.33,9.38,9.71,9.05, 0.19
9,9,NaN,Australia,Full democracy,10.00,8.57,7.78,8.75,9.71,8.96, 0.13
10,9, 2,Netherlands,Full democracy,9.58,9.29,8.33,8.75,8.82,8.96, 0.05
11,11, 20,Taiwan,Full democracy,10.00,9.64,7.22,8.13,9.71,8.94, 1.21
12,12, 2,Switzerland,Full democracy,9.58,8.57,7.78,9.38,8.82,8.83, 0.20
13,13, 1,Luxembourg,Full democracy,10.00,8.57,6.67,8.75,9.71,8.68, 0.13
14,14, 1,Germany,Full democracy,9.58,8.21,8.33,8.13,9.12,8.67, 0.01
15,15,NaN,Uruguay,Full democracy,10.00,8.57,6.67,8.13,9.71,8.61, 0.23
16,16, 2,United Kingdom,Full democracy,10.00,7.50,8.89,7.50,8.82,8.54, 0.02
17,17, 4,Chile,Full democracy,9.58,8.21,6.67,8.13,8.82,8.28, 0.20
18,18, 2,Austria,Full democracy,9.58,7.50,8.33,6.88,8.53,8.16, 0.13
19,18, 1,Costa Rica,Full democracy,9.58,6.79,7.22,7.50,9.71,8.16, 0.03
20,20, 2,Mauritius,Full democracy,9.17,7.86,6.11,8.75,8.82,8.14, 0.08
21,21, 3,Japan,Full democracy,8.75,8.57,6.67,8.13,8.53,8.13, 0.14
22,22, 6,Spain,Full democracy,9.58,7.14,7.22,8.13,8.53,8.12, 0.17
23,23,NaN,South Korea,Full democracy,9.17,8.21,7.22,7.50,7.94,8.01, 0.01
24,24, 4,France,Flawed democracy,9.58,7.50,7.78,6.88,8.24,7.99, 0.13
25,25,NaN,United States,Flawed democracy,9.17,6.79,8.89,6.25,8.53,7.92, 0.04
26,26, 4,Portugal,Flawed democracy,9.58,7.50,6.11,7.50,8.82,7.90, 0.13
27,27,NaN,Estonia,Flawed democracy,9.58,7.86,6.67,6.88,8.24,7.84, 0.06
28,27, 1,Israel,Flawed democracy,9.17,7.50,9.44,7.50,5.59,7.84, 0.02
29,29, 6,Italy,Flawed democracy,9.58,6.43,7.22,7.50,7.94,7.74, 0.22
30,30, 4,Malta,Flawed democracy,9.17,6.79,6.11,8.13,8.24,7.68, 0.27
31,31, 1,Czech Republic,Flawed democracy,9.58,6.07,6.67,7.50,8.53,7.67, 0.02
32,32, 2,Cape Verde,Flawed democracy,9.17,7.00,6.67,6.88,8.53,7.65, 0.13
33,33, 4,Botswana,Flawed democracy,9.17,6.79,6.11,7.50,8.53,7.62, 0.19
34,34,NaN,Cyprus,Flawed democracy,9.17,5.36,7.22,7.50,8.53,7.56, 0.03
35,35, 1,Slovenia,Flawed democracy,9.58,6.43,7.22,6.25,8.24,7.54, 0.04
36,36, 3,Belgium,Flawed democracy,9.58,7.86,5.00,6.88,8.24,7.51, 0.13
37,37, 2,Greece,Flawed democracy,9.58,5.21,6.11,7.50,8.53,7.39, 0.04
38,38,NaN,Latvia,Flawed democracy,9.58,6.07,6.67,5.63,8.24,7.24, 0.25
39,39, 4,Malaysia,Flawed democracy,9.58,7.86,6.67,6.25,5.59,7.19, 0.03
40,40, 6,Panama,Flawed democracy,9.58,6.43,7.22,5.00,7.65,7.18, 0.13
41,41, 2,Trinidad and Tobago,Flawed democracy,9.58,7.14,6.11,5.63,7.35,7.16,NaN
42,42, 8,Jamaica,Flawed democracy,8.75,7.14,5.00,6.25,8.53,7.13, 0.17
43,42, 6,Lithuania,Flawed democracy,9.58,6.07,5.56,5.63,8.82,7.13, 0.37
44,44, 3,Timor-Leste,Flawed democracy,9.58,5.93,5.56,6.88,7.35,7.06, 0.13
45,45, 5,South Africa,Flawed democracy,7.42,7.14,8.33,5.00,7.35,7.05, 0.19
46,46, 1,Colombia,Flawed democracy,9.17,6.43,6.67,5.00,7.94,7.04, 0.09
47,47, 5,Slovakia,Flawed democracy,9.58,6.43,5.56,5.63,7.65,6.97, 0.20
48,48,NaN,Argentina,Flawed democracy,9.17,5.36,6.67,5.63,7.94,6.95, 0.07
49,49, 3,Brazil,Flawed democracy,9.58,5.36,6.11,5.63,7.94,6.92, 0.04
50,50, 7,Poland,Flawed democracy,9.17,5.71,6.67,5.63,7.06,6.85, 0.23
51,51, 2,Suriname,Flawed democracy,9.58,6.07,6.11,5.00,7.35,6.82, 0.16
52,52, 5,Bulgaria,Flawed democracy,9.17,5.71,7.22,4.38,7.06,6.71, 0.32
53,53, 2,India,Flawed democracy,8.67,7.14,6.67,5.00,5.59,6.61, 0.29
