,Rank,Country,GNI per capita (US$),Year
1,140,Ghana,2220,2019
2,141,India,2130,2019
3,142,Solomon Islands,2050,2019
4,143,Nigeria,2030,2019
5,144,São Tomé and Príncipe,1960,2019
6,145,Bangladesh,1940,2019
7,146,Nicaragua,1910,2019
8,147,East Timor,1890,2019
9,148,Uzbekistan,1800,2019
10,149,Kenya,1750 ,2019
11,150,Republic of the Congo,1750,2019
12,151,Mauritania,1660,2019
13,152,Pakistan,1530,2019
14,153,Cameroon,1500,2019
15,154,Cambodia,1480,2019
16,155,Zambia,1450,2019
17,156,Senegal,1450,2019
18,157,Comoros,1420,2019
19,158,Zimbabwe,1390,2019
20,159,Lesotho,1360,2019
21,161,Benin,1250,2019
22,162,Kyrgyzstan,1240,2019
23,163,Nepal,1090,2019
24,164,Tanzania,1080,2019
