,Rank,Country,GNI per capita (US$),Year
1,29,Bahamas,31780,2019
2,30,Spain,30390,2019
3,31,Cyprus,27710,2019
4,32,Malta,27290,2019
5,—,Aruba (Netherlands),26810,2017
6,—,Turks and Caicos Islands (UK),26740,2018
7,33,Taiwan,26594,2019
8,34,Slovenia,25750,2019
9,35,Estonia,23220,2019
10,36,Portugal,23080,2019
11,37,Saudi Arabia,22850,2019
12,38,Bahrain,22110,2019
13,39,Czechia,22000,2019
14,—,Puerto Rico (US),21970,2019
15,40,Greece,20320,2019
16,—,Curaçao (Netherlands),19610,2018
17,41,Slovakia,19320,2019
18,42,Saint Kitts and Nevis,19230,2019
19,43,Lithuania,18990,2019
20,44,Latvia,17730,2019
21,45,Barbados,17380,2019
22,46,Palau,17280,2018
23,47,Trinidad and Tobago,16890,2019
24,48,Seychelles,16870,2019
25,49,Antigua and Barbuda,16660,2019
26,50,Uruguay,16230,2019
27,51,Hungary,16140,2019
28,—,French Polynesia (France),15760,2000
29,52,Oman,15330,2019
30,53,Poland,15200,2019
31,54,Chile,15010,2019
32,55,Panama,14950,2019
33,56,Croatia,14910,2020
34,57,Nauru,14230,2019
35,—,New Caledonia (France),14020,2000
36,58,Mauritius,12740,2019
37,59,Romania,12630,2019
