,Austria,NaN,8.69,NaN, 0.20,NaN,NaN,NaN, 0.13,NaN, 0.14,NaN, 0.06,NaN,NaN, 0.13,NaN, 0.01,NaN, 0.13,NaN
1,France,NaN,8.07,NaN,NaN, 0.30,NaN,NaN, 0.11,NaN, 0.04,NaN, 0.12,NaN, 0.12,NaN,NaN, 0.12,NaN,NaN, 0.32
2,Germany,NaN,8.82,NaN,NaN, 0.44,NaN, 0.04,NaN,NaN, 0.03,NaN, 0.33,NaN,NaN, 0.01,NaN, 0.02,NaN, 0.07,NaN
3,Ireland,NaN,9.01,NaN,NaN, 0.22,NaN, 0.23,NaN,NaN, 0.12,NaN, 0.04,NaN, 0.13,NaN, 0.30,NaN,NaN,NaN, 0.09
4,Italy,NaN,7.73,NaN, 0.25,NaN, 0.15,NaN, 0.09,NaN,NaN, 0.11,NaN,NaN, 0.13,NaN,NaN,NaN, 0.27,NaN, 0.19
5,Netherlands,NaN,9.66,NaN, 0.13,NaN, 0.54,NaN,NaN,NaN, 0.15,NaN, 0.08,NaN,NaN, 0.12,NaN, 0.09,NaN,NaN, 0.12
6,Spain,NaN,8.34,NaN, 0.11,NaN, 0.29,NaN, 0.14,NaN,NaN,NaN, 0.03,NaN, 0.25,NaN,NaN, 0.22,NaN,NaN, 0.21
7,United Kingdom,NaN,8.08,NaN, 0.07,NaN, 0.01,NaN,NaN, 0.05,NaN, 0.10,NaN,NaN,NaN, 0.05,NaN, 0.17,NaN,NaN, 0.01
8,Azerbaijan,NaN,3.31,NaN, 0.12,NaN, 0.04,NaN,NaN,NaN, 0.09,NaN, 0.23,NaN, 0.12,NaN, 0.06,NaN,NaN,NaN, 0.10
9,Belarus,NaN,3.34,NaN,NaN,NaN, 0.18,NaN, 0.12,NaN,NaN, 0.65,NaN, 0.07,NaN, 0.08,NaN, 0.41,NaN,NaN, 0.65
10,Estonia,NaN,7.74,NaN, 0.06,NaN,NaN, 0.07,NaN,NaN,NaN, 0.13,NaN, 0.11,NaN,NaN, 0.06,NaN, 0.18,NaN, 0.07
11,Moldova,NaN,6.50,NaN,NaN, 0.17,NaN, 0.01,NaN,NaN,NaN,NaN, 0.03,NaN, 0.34,NaN, 0.07,NaN, 0.09,NaN, 0.10
12,Poland,NaN,7.30,NaN,NaN, 0.25,NaN, 0.07,NaN,NaN,NaN, 0.35,NaN, 0.38,NaN, 0.26,NaN, 0.16,NaN,NaN, 0.05
13,Romania,NaN,7.06,NaN,NaN, 0.46,NaN, 0.06,NaN,NaN,NaN, 0.14,NaN,NaN, 0.06,NaN, 0.18,NaN, 0.06,NaN, 0.11
14,Slovakia,NaN,7.40,NaN, 0.07,NaN, 0.02,NaN,NaN,NaN,NaN,NaN,NaN, 0.06,NaN,NaN, 0.13,NaN, 0.06,NaN, 0.07
15,Brazil,NaN,7.38,NaN,NaN, 0.26,NaN,NaN,NaN,NaN, 0.26,NaN, 0.42,NaN, 0.06,NaN, 0.04,NaN, 0.11,NaN, 0.11
16,El Salvador,NaN,6.22,NaN, 0.18,NaN, 0.07,NaN,NaN,NaN, 0.06,NaN,NaN, 0.11,NaN,NaN, 0.21,NaN, 0.47,NaN, 0.19
17,Guatemala,NaN,6.07,NaN,NaN, 0.02,NaN, 0.17,NaN,NaN, 0.07,NaN,NaN, 0.11,NaN,NaN, 0.06,NaN, 0.26,NaN, 0.34
18,Jamaica,NaN,7.34,NaN, 0.13,NaN,NaN, 0.08,NaN, 0.26,NaN,NaN,NaN,NaN,NaN,NaN, 0.10,NaN, 0.27,NaN, 0.06
19,Japan,NaN,8.15,NaN, 0.10,NaN, 0.17,NaN,NaN,NaN,NaN,NaN,NaN, 0.12,NaN, 0.03,NaN, 0.11,NaN, 0.11,NaN
20,Myanmar,NaN,1.77,NaN,NaN,NaN,NaN, 0.58,NaN, 0.41,NaN, 0.29,NaN, 1.09,NaN, 0.06,NaN, 0.37,NaN,NaN, 0.28
21,Nepal,NaN,3.42,NaN, 0.63,NaN, 0.19,NaN,NaN, 0.08,NaN, 0.61,NaN,NaN,NaN, 0.09,NaN, 0.32,NaN,NaN, 0.10
22, Taiwan,NaN,7.82,NaN,NaN, 0.30,NaN, 0.06,NaN, 0.11,NaN,NaN, 0.08,NaN, 0.18,NaN, 0.04,NaN, 0.06,NaN,NaN
23,Algeria,NaN,3.17,NaN, 0.15,NaN, 0.12,NaN,NaN, 0.39,NaN,NaN,NaN, 0.12,NaN, 0.39,NaN,NaN, 0.06,NaN, 0.51
24,Iran,NaN,2.93,NaN, 0.10,NaN, 0.89,NaN, 0.04,NaN,NaN,NaN,NaN, 0.18,NaN, 0.18,NaN, 0.11,NaN,NaN, 0.07
25,Israel,NaN,7.28,NaN, 0.20,NaN,NaN, 0.05,NaN,NaN,NaN, 0.10,NaN, 0.14,NaN, 0.08,NaN, 0.06,NaN,NaN, 0.07
26,Saudi Arabia,NaN,1.92,NaN, 0.02,NaN, 0.06,NaN, 0.07,NaN, 0.06,NaN, 0.11,NaN,NaN, 0.11,NaN,NaN,NaN,NaN,NaN
27,Sudan,NaN,2.90,NaN, 0.09,NaN, 0.39,NaN, 0.04,NaN,NaN, 0.16,NaN,NaN, 0.17,NaN,NaN, 0.22,NaN,NaN, 0.55
28,Cape Verde,NaN,7.43,NaN, 0.38,NaN, 0.13,NaN, 0.02,NaN,NaN,NaN, 0.11,NaN,NaN, 0.13,NaN, 0.06,NaN,NaN, 0.10
29, Republic of the Congo ,NaN,3.19,NaN, 0.25,NaN, 0.05,NaN,NaN,NaN,NaN,NaN,NaN, 0.02,NaN,NaN, 0.34,NaN, 0.06,NaN, 0.20
30,Eswatini,NaN,2.93,NaN, 0.11,NaN, 0.14,NaN, 0.36,NaN, 0.06,NaN,NaN, 0.11,NaN,NaN, 0.06,NaN,NaN,NaN, 0.11
31,Gabon,NaN,2.72,NaN, 0.28,NaN, 0.29,NaN, 0.19,NaN, 0.08,NaN, 0.20,NaN,NaN,NaN, 0.02,NaN, 0.13,NaN,NaN
32,Lesotho,NaN,6.48,NaN, 0.19,NaN, 0.27,NaN, 0.31,NaN, 0.33,NaN,NaN,NaN, 0.07,NaN,NaN, 0.05,NaN,NaN, 0.10
33,Liberia,NaN,5.22,NaN, 0.03,NaN, 0.18,NaN,NaN, 0.12,NaN,NaN,NaN,NaN, 0.36,NaN, 0.08,NaN, 0.12,NaN, 0.10
34,Zimbabwe,NaN,2.62,NaN, 0.09,NaN, 0.11,NaN, 0.04,NaN, 0.01,NaN,NaN, 0.11,NaN, 0.27,NaN,NaN, 0.11,NaN,NaN
