,Rank,Country,GNI per capita (US$),Year
1,60,Venezuela,13080,2014
2,61,Costa Rica,11700,2019
3,—,World,11570,2019
4,62,Russia,11260,2019
5,63,Malaysia,11230,2019
6,64,Argentina,11200,2019
7,65,Saint Lucia,11020,2019
8,66,China,10410,2019
9,67,Grenada,9980,2019
10,68,Maldives,9650,2019
11,69,Turkey,9610,2019
12,70,Mexico,9430,2019
13,71,Bulgaria,9410,2019
14,72,Brazil,9130,2019
15,73,Montenegro,9010,2019
16,74,Kazakhstan,8810,2019
17,75,Dominican Republic,8090,2019
18,76,Dominica,8090,2019
19,77,Botswana,7660,2019
20,78,Libya,7640,2019
21,79,Lebanon,7600,2019
22,80,Cuba,7480,2016
23,81,Saint Vincent and the Grenadines,7460,2019
24,82,Thailand,7260,2019
25,83,Gabon,7210,2019
26,84,Serbia,7020,2019
27,85,Turkmenistan,6740,2018
28,86,Peru,6740,2019
