,Rank,Country,GNI per capita (US$),Year
1,115,Sri Lanka,4020,2019
2,116,El Salvador,4000,2019
3,117,Algeria,3970,2019
4,118,Moldova,3930,2019
5,119,Philippines,3851,2019
6,120,Mongolia,3780,2019
7,121,Palestine,3710,2018
8,122,Cape Verde,3630,2019
9,123,Eswatini,3590,2019
10,124,Djibouti,3540,2019
11,125,Bolivia,3530,2019
12,126,Micronesia,3400,2018
13,127,Ukraine,3370,2019
14,128,Tunisia,3360,2019
15,129,Kiribati,3350,2019
16,130,Morocco,3190,2019
17,131,Vanuatu,3170,2019
18,132,Angola,3050,2019
19,133,Bhutan,2970,2018
20,134,Papua New Guinea,2780,2019
21,135,Egypt,2690,2019
22,136,Laos,2570,2019
23,137,Vietnam,2540,2019
24,138,Honduras,2390,2019
25,139,Ivory Coast,2290,2019
