,Norway,NaN,1,92.73,NaN,96.85,NaN,93.39,NaN,87.95
1,Denmark,NaN,2,92.11,NaN,96.11,NaN,91.58,NaN,88.66
2,Finland,NaN,3,91.89,NaN,96.22,NaN,91.29,NaN,88.15
3,New Zealand,NaN,4,91.64,NaN,97.22,NaN,92.57,NaN,85.13
4,Sweden,NaN,5,91.62,NaN,96.58,NaN,91.03,NaN,87.23
5,Switzerland,NaN,6,91.42,NaN,96.78,NaN,91.99,NaN,85.49
6,Canada,NaN,7,91.40,NaN,97.03,NaN,90.88,NaN,86.31
7,Australia,NaN,8,91.29,NaN,97.25,NaN,91.07,NaN,85.55
8,Iceland,NaN,9,91.09,NaN,98.07,NaN,92.81,NaN,82.39
9,Netherlands,NaN,10,91.06,NaN,96.48,NaN,91.18,NaN,85.53
10,Germany,NaN,11,90.56,NaN,96.14,NaN,89.02,NaN,86.53
11,Ireland,NaN,12,90.35,NaN,96.32,NaN,90.03,NaN,84.70
12,Japan,NaN,13,90.14,NaN,97.78,NaN,92.15,NaN,80.50
13,Luxembourg,NaN,14,89.56,NaN,95.72,NaN,91.84,NaN,81.13
14,Austria,NaN,15,89.50,NaN,96.03,NaN,91.84,NaN,80.63
15,Belgium,NaN,16,89.46,NaN,94.01,NaN,89.30,NaN,85.07
16,South Korea,NaN,17,89.06,NaN,96.92,NaN,90.12,NaN,80.13
17,France,NaN,18,88.78,NaN,94.48,NaN,90.78,NaN,81.09
18,Spain,NaN,19,88.71,NaN,95.27,NaN,89.71,NaN,81.15
19,United Kingdom,NaN,20,88.54,NaN,94.36,NaN,90.21,NaN,81.06
20,Portugal,NaN,21,87.79,NaN,95.69,NaN,88.12,NaN,79.57
21,Slovenia,NaN,22,87.71,NaN,95.62,NaN,88.85,NaN,78.64
22,Italy,NaN,23,87.36,NaN,93.19,NaN,88.59,NaN,80.30
23,Estonia,NaN,24,87.26,NaN,93.08,NaN,91.50,NaN,77.21
24,Czech Republic,NaN,25,86.69,NaN,95.45,NaN,86.79,NaN,77.83
25,Cyprus,NaN,26,86.64,NaN,93.40,NaN,89.66,NaN,76.84
26,Greece,NaN,27,85.78,NaN,93.78,NaN,85.11,NaN,78.46
27,United States,NaN,28,85.71,NaN,92.08,NaN,83.14,NaN,81.89
28,Singapore,NaN,29,85.46,NaN,97.66,NaN,86.13,NaN,72.58
29,Malta,NaN,30,84.89,NaN,93.25,NaN,87.98,NaN,73.43
30,Poland,NaN,31,84.32,NaN,94.44,NaN,83.67,NaN,74.86
31,Lithuania,NaN,32,83.97,NaN,90.83,NaN,83.77,NaN,77.30
32,Israel,NaN,33,83.62,NaN,93.43,NaN,85.53,NaN,71.89
33,Chile,NaN,34,83.34,NaN,90.79,NaN,81.87,NaN,77.35
34,Latvia,NaN,35,83.19,NaN,90.74,NaN,83.83,NaN,74.99
35,Slovakia,NaN,36,83.15,NaN,93.88,NaN,82.98,NaN,72.58
36,Costa Rica,NaN,37,83.01,NaN,89.88,NaN,84.62,NaN,74.51
37,Uruguay,NaN,38,82.99,NaN,88.64,NaN,82.59,NaN,77.74
38,Croatia,NaN,39,81.92,NaN,91.29,NaN,84.79,NaN,69.69
39,Hungary,NaN,40,81.02,NaN,92.10,NaN,80.76,NaN,70.19
40,Argentina,NaN,41,80.66,NaN,87.73,NaN,80.05,NaN,74.20
41,Barbados,NaN,42,80.50,NaN,87.25,NaN,80.08,NaN,74.16
42,Bulgaria,NaN,43,79.86,NaN,90.88,NaN,78.19,NaN,70.51
43,Mauritius,NaN,44,78.96,NaN,90.90,NaN,76.52,NaN,69.47
44,Romania,NaN,45,78.35,NaN,89.46,NaN,78.04,NaN,67.54
45,Kuwait,NaN,46,77.47,NaN,90.41,NaN,81.67,NaN,60.33
46,Belarus,NaN,47,77.00,NaN,89.80,NaN,76.83,NaN,64.38
47,Sri Lanka,NaN,48,76.96,NaN,88.77,NaN,80.52,NaN,61.59
48,Panama,NaN,49,76.55,NaN,86.00,NaN,79.83,NaN,63.82
49,Armenia,NaN,50,76.46,NaN,87.91,NaN,78.22,NaN,63.24
50,Trinidad,NaN,51,76.33,NaN,82.32,NaN,78.18,NaN,68.48
51,Serbia,NaN,52,75.54,NaN,87.53,NaN,75.19,NaN,63.90
52,Ecuador,NaN,53,75.45,NaN,84.35,NaN,79.45,NaN,62.55
53,Albania,NaN,54,75.41,NaN,86.92,NaN,82.71,NaN,56.60
54,Tunisia,NaN,55,75.02,NaN,85.56,NaN,71.29,NaN,68.19
55,Georgia,NaN,56,74.85,NaN,83.79,NaN,77.14,NaN,63.64
56,Jamaica,NaN,57,74.75,NaN,79.34,NaN,74.44,NaN,70.47
57,Montenegro,NaN,58,74.42,NaN,86.18,NaN,77.96,NaN,59.12
58,Peru,NaN,59,74.22,NaN,82.46,NaN,78.50,NaN,61.69
59,Colombia,NaN,60,74.00,NaN,83.31,NaN,80.09,NaN,58.59
60,Brazil,NaN,61,73.91,NaN,82.69,NaN,76.59,NaN,62.46
61,Mexico,NaN,62,73.52,NaN,82.54,NaN,74.67,NaN,63.36
62,Ukraine,NaN,63,73.38,NaN,83.36,NaN,71.97,NaN,64.79
63,Malaysia,NaN,64,73.20,NaN,81.89,NaN,80.33,NaN,57.39
64,Republic of North Macedonia,NaN,65,73.16,NaN,88.15,NaN,75.06,NaN,56.25
65,Bosnia and Herzegovina,NaN,66,72.74,NaN,86.41,NaN,74.08,NaN,57.72
66,Kazakhstan,NaN,67,72.66,NaN,85.60,NaN,76.13,NaN,56.24
67,Moldova,NaN,68,72.58,NaN,83.32,NaN,75.42,NaN,59.02
68,Russia,NaN,69,72.56,NaN,84.05,NaN,74.18,NaN,59.44
69,Paraguay,NaN,70,72.48,NaN,83.87,NaN,75.50,NaN,58.09
70,Cabo Verde,NaN,71,72.05,NaN,80.15,NaN,70.69,NaN,65.31
71,Cuba,NaN,72,71.52,NaN,86.20,NaN,71.86,NaN,56.51
72,Jordan,NaN,73,71.50,NaN,89.35,NaN,69.61,NaN,55.54
73,Oman,NaN,74,71.41,NaN,87.38,NaN,72.33,NaN,54.52
74,Suriname,NaN,75,71.12,NaN,82.82,NaN,69.06,NaN,61.48
75,Mongolia,NaN,76,71.07,NaN,77.42,NaN,71.27,NaN,64.52
76,Dominican Republic,NaN,77,71.05,NaN,78.69,NaN,74.99,NaN,59.48
77,Maldives,NaN,78,70.81,NaN,86.40,NaN,74.65,NaN,51.38
78,Thailand,NaN,79,70.72,NaN,80.89,NaN,75.44,NaN,55.83
79,United Arab Emirates,NaN,80,70.60,NaN,86.80,NaN,71.63,NaN,53.38
80,Qatar,NaN,81,70.58,NaN,90.40,NaN,72.10,NaN,49.23
81,South Africa,NaN,82,70.26,NaN,73.35,NaN,69.28,NaN,68.14
82,Algeria,NaN,83,69.92,NaN,87.69,NaN,66.05,NaN,56.02
83,Indonesia,NaN,84,69.49,NaN,79.79,NaN,68.76,NaN,59.92
84,Lebanon,NaN,85,69.37,NaN,84.32,NaN,67.14,NaN,56.63
85,Botswana,NaN,86,69.36,NaN,71.48,NaN,74.24,NaN,62.36
86,Bolivia,NaN,87,69.23,NaN,82.26,NaN,69.20,NaN,56.24
87,Vietnam,NaN,88,68.85,NaN,82.03,NaN,72.31,NaN,52.23
88,Kyrgyzstan,NaN,89,68.65,NaN,80.17,NaN,72.72,NaN,53.04
89,Fiji,NaN,90,68.42,NaN,80.28,NaN,66.33,NaN,58.65
90,Bhutan,NaN,91,68.34,NaN,82.02,NaN,65.90,NaN,57.09
91,Turkey,NaN,92,68.27,NaN,85.20,NaN,67.47,NaN,52.14
92,Iran,NaN,93,67.49,NaN,85.25,NaN,68.86,NaN,48.35
93,El Salvador,NaN,94,67.25,NaN,77.62,NaN,68.87,NaN,55.26
94,Namibia,NaN,95,67.14,NaN,67.29,NaN,70.92,NaN,63.21
95,Guyana,NaN,96,66.95,NaN,77.10,NaN,64.74,NaN,58.99
96,Morocco,NaN,97,66.90,NaN,84.78,NaN,64.50,NaN,51.43
97,China,NaN,98,66.62,NaN,70.74,NaN,71.24,NaN,57.87
98,Bahrain,NaN,99,66.60,NaN,86.34,NaN,69.60,NaN,43.86
99,Gabon,NaN,100,66.12,NaN,82.93,NaN,64.79,NaN,50.63
100,Saudi Arabia,NaN,101,65.06,NaN,84.54,NaN,67.64,NaN,43.02
101,Uzbekistan,NaN,102,64.98,NaN,80.35,NaN,64.65,NaN,49.94
102,Ghana,NaN,103,64.86,NaN,65.19,NaN,68.04,NaN,61.35
103,Azerbaijan,NaN,104,64.11,NaN,83.40,NaN,67.62,NaN,41.32
104,Nicaragua,NaN,105,64.02,NaN,75.09,NaN,72.83,NaN,44.13
105,Philippines,NaN,106,63.93,NaN,73.31,NaN,62.78,NaN,55.71
106,Iraq,NaN,107,63.52,NaN,78.06,NaN,63.19,NaN,49.31
107,Honduras,NaN,108,62.41,NaN,73.72,NaN,66.38,NaN,47.12
108,Guatemala,NaN,109,61.67,NaN,68.32,NaN,71.33,NaN,45.35
109,Timor-Leste,NaN,110,61.08,NaN,63.84,NaN,66.88,NaN,52.53
110,Senegal,NaN,111,60.04,NaN,66.20,NaN,61.17,NaN,52.76
111,Egypt,NaN,112,59.98,NaN,79.41,NaN,51.55,NaN,48.98
112,Turkmenistan,NaN,113,58.35,NaN,83.18,NaN,59.84,NaN,32.05
113,Nepal,NaN,114,57.60,NaN,67.59,NaN,53.43,NaN,51.79
114,Kenya,NaN,115,57.10,NaN,55.97,NaN,64.60,NaN,50.74
115,Tajikistan,NaN,116,56.99,NaN,76.81,NaN,59.94,NaN,34.22
116,India,NaN,117,56.80,NaN,66.24,NaN,50.15,NaN,54.01
117,Cambodia,NaN,118,56.27,NaN,67.27,NaN,62.09,NaN,39.43
118,Tanzania,NaN,119,56.20,NaN,56.26,NaN,62.91,NaN,49.42
119,Myanmar,NaN,120,55.99,NaN,64.61,NaN,59.27,NaN,44.10
120,Benin,NaN,121,55.56,NaN,51.94,NaN,60.97,NaN,53.77
121,Zambia,NaN,122,55.34,NaN,56.09,NaN,59.94,NaN,49.99
122,Bangladesh,NaN,123,55.23,NaN,64.18,NaN,59.75,NaN,41.76
123,Gambia The,NaN,124,55.10,NaN,57.16,NaN,55.98,NaN,52.15
124,Rwanda,NaN,125,54.13,NaN,54.52,NaN,62.65,NaN,45.21
125,Malawi,NaN,126,54.07,NaN,53.60,NaN,59.58,NaN,49.02
126,Lesotho,NaN,127,53.80,NaN,44.33,NaN,60.05,NaN,57.02
127,Cote D'Ivoire,NaN,128,53.59,NaN,55.36,NaN,61.52,NaN,43.89
128,Togo,NaN,129,53.05,NaN,50.80,NaN,60.51,NaN,47.84
129,Uganda,NaN,130,52.98,NaN,53.67,NaN,59.20,NaN,46.08
130,Swaziland,NaN,131,52.92,NaN,60.25,NaN,59.03,NaN,39.48
