,Overall Rank,Change in rank,Country,Score,Change in score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Trust,Residual
1,1, 3,Norway,7.537, 0.039,1.616,1.534,0.797,0.635,0.362,0.316,2.277
2,2, 1,Denmark,7.522, 0.004,1.482,1.551,0.793,0.626,0.355,0.401,2.314
3,4, 2,Switzerland,7.494, 0.015,1.565,1.517,0.858,0.620,0.291,0.367,2.277
4,6, 1,Netherlands,7.377, 0.038,1.504,1.429,0.811,0.585,0.470,0.283,2.295
5,7, 1,Canada,7.316, 0.088,1.479,1.481,0.835,0.611,0.436,0.287,2.187
6,12, 2,Costa Rica,7.079, 0.008,1.110,1.416,0.760,0.580,0.215,0.100,2.899
7,13, 1,Austria,7.006, 0.113,1.487,1.460,0.815,0.568,0.316,0.221,2.139
8,14, 1,United States,6.993, 0.111,1.546,1.420,0.774,0.506,0.393,0.136,2.218
9,15, 4,Ireland,6.977, 0.070,1.536,1.558,0.810,0.573,0.428,0.298,1.774
10,17, 1,Belgium,6.891, 0.038,1.464,1.462,0.818,0.540,0.232,0.251,2.124
11,18, 2,Luxembourg,6.863, 0.008,1.742,1.458,0.845,0.597,0.283,0.319,1.620
12,19, 4,United Kingdom,6.714, 0.011,1.442,1.496,0.805,0.508,0.493,0.265,1.704
13,20, 4,Chile,6.652, 0.053,1.253,1.284,0.819,0.377,0.327,0.082,2.510
14,21, 7,United Arab Emirates,6.648, 0.075,1.626,1.266,0.727,0.608,0.361,0.324,1.735
15,22, 5,Brazil,6.635, 0.317,1.107,1.431,0.617,0.437,0.162,0.111,2.769
16,23, 4,Czech Republic,6.609, 0.013,1.353,1.434,0.754,0.491,0.088,0.037,2.452
17,24, 2,Argentina,6.599, 0.051,1.185,1.440,0.695,0.495,0.109,0.060,2.614
18,25, 4,Mexico,6.578, 0.200,1.153,1.211,0.710,0.413,0.121,0.133,2.837
19,26, 4,Singapore,6.572, 0.167,1.692,1.354,0.949,0.550,0.346,0.464,1.216
20,27, 3,Malta,6.527, 0.039,1.343,1.488,0.822,0.589,0.575,0.153,1.557
21,28, 1,Uruguay,6.454, 0.091,1.218,1.412,0.719,0.579,0.175,0.178,2.172
22,29, 10,Guatemala,6.454, 0.130,0.872,1.256,0.540,0.531,0.283,0.077,2.894
23,30, 5,Panama,6.452, 0.249,1.234,1.373,0.706,0.550,0.211,0.071,2.307
24,31, 1,France,6.442, 0.036,1.431,1.388,0.844,0.470,0.130,0.173,2.006
